,Intentional homicide,Harm,Robbery,Burglary,Theft,Unlawful acts
Belgium,-0.06972706158812149,0.19591285929346874,0.1880998420136349,0.19202059366874338,-0.03306234060769121,0.19902932568211024
Bulgaria,-0.09431700738749565,-0.3213733260311369,-0.4333114205716571,-0.11405633651685401,-0.49327069399997553,-0.3158792295355111
Czechia,-0.23922498229885777,-0.3534044499758911,-0.458870857080586,-0.5400904793788228,-0.32700488903888897,-0.2099774959685571
Denmark,-0.41267045283691833,-0.39741162990823015,-0.43817266678261085,-0.2487021684966728,-0.17752789648359069,-0.2351276301779299
Germany,0.7895229508261302,1.204987621479283,1.3942735510949573,1.4450581412622683,1.2109612997981982,4.933940698693098
Estonia,-0.26496629679786815,-0.4990924710893962,-0.3821979609682881,-0.6222680534629886,-0.6049217529009251,-0.6203750816349672
Ireland,-0.38651793523089495,-0.452736210501168,-0.32617724113081054,-0.4516108727583479,-0.4705105791867453,-0.24392610378380025
Greece,-0.3301008689487188,-0.47319769593070043,-0.5705820784717237,-0.19192806431163614,-0.3653341950326037,-0.03548607431139561
Spain,0.12444304554339154,0.44422345069329683,2.810138577107682,0.41510138318243295,0.8269035750096473,0.43200266515606867
France,0.7559687772938738,1.657990156983305,2.865092854290863,2.215026058614293,3.388145805009584,-0.08926616231764808
Croatia,-0.3568290709045603,-0.3638072571440553,-0.611845830412698,-0.2883152102075595,-0.24507892741174173,0.010298575378411194
Italy,0.5386068149268306,0.5171676780015805,2.2489515507104305,1.9226973263455438,2.5758965131345963,2.563165217748352
Cyprus,-0.491210246276391,-0.5570072692603688,-0.6479370648096119,-0.6874296746044679,-0.613771883985108,-0.6237501574890709
Latvia,-0.19078525629273274,-0.3649222841395522,-0.35943455304283095,-0.32343264701099506,-0.484374452472492,-0.5461350510372861
Lithuania,-0.025399366652125926,-0.5113454336704424,-0.48201861743474883,-0.6003927915948882,-0.5712449906362519,-0.6294528718632462
Luxembourg,-0.4446620545625255,-0.33162997092168345,-0.6370588083943429,-0.6787305442311008,-0.620968187169572,-0.5652566014796736
Hungary,-0.208549230515692,-0.2920989336515768,-0.5262299735648817,-0.387424090007725,-0.45339976218524036,-0.37126538812061294
Malta,-0.2939972361529821,-0.1768496693908055,-0.45833492904619355,-0.3587407726218023,-0.34467364240433246,-0.33192829713140426
Netherlands,-0.2207208424832752,0.3225849830733732,0.03420188151118028,0.6926298734312243,-0.16824202171021616,0.27516638167364965
Austria,-0.3716323827570263,-0.16039747074098823,-0.40042763425936473,-0.4688714654880528,-0.43873971524516814,-0.4257379485865867
Poland,0.40628165509006464,0.034616927116891516,0.6042127735251962,0.17000766378361368,-0.060348963938274394,-0.48449336392949205
Portugal,-0.300823207729397,-0.3644369267029061,0.03171712426081528,-0.4059116024297386,-0.34795286343040127,-0.3393243685289315
Romania,0.2273260629180306,-0.48775163512690084,-0.5054993027799737,-0.45799290157482264,-0.6076099917453565,-0.5062335077069601
Slovenia,-0.38437967907442766,-0.538432942351976,-0.6333208456898177,-0.45282569998970135,-0.5615533439618312,-0.5844828956554644
Slovakia,-0.3060866074991628,-0.44478547597354334,-0.4628064094139528,-0.664955370824429,-0.5525541224443093,-0.5978493598569751
Finland,-0.33799596860336734,-0.25344733692106003,-0.4478356116451414,-0.583790772892594,-0.382488048447856,0.014278837247733494
Sweden,-0.3877515445519338,0.16723976742309526,-0.33754811826456144,-0.47307685133257726,0.15918362512379178,-0.17228139013599886
Iceland,-0.4481161606614342,-7.140950716462039e-07,-0.3725620831782016,-0.2952748865819749,-4.995298024243527e-06,-0.36051169815788253
Liechtenstein,-0.44984321371088865,-0.48418885252016114,-0.5527069838296643,-0.6170552726019589,-0.39979637184816563,-0.5373074819499148
Norway,-0.4556822978304725,-0.38514324936540995,-0.5969941277626405,-0.5389798333495456,-0.41335361068596255,0.6716912417604335
Switzerland,-0.36151678632450784,-0.4755177908184544,-0.4826113863212738,0.22949978111567543,-4.995298024243527e-06,0.00857612287355827
England and Wales,0.4787356425457457,5.3844862323057185,2.81497816966068,4.543453600475246,3.517302693709648,1.2009205929727949
Scotland,-0.3612700644603001,-0.32039027678842563,-0.46656061236194435,-0.24519721519825027,-0.3290637203322656,0.09736971331798659
Northern Ireland (UK),-0.4004988408693351,-0.34953885859990974,-0.5809379403888223,-0.597113874297399,-0.541195583244568,-0.622708539251339
Montenegro,-0.15418817976858057,-0.25564840514391857,-0.24154933242720247,-3.965543876005691e-06,-0.18103920674093973,-0.26467700119023785
North Macedonia,-0.19670658103371916,-0.3386013565174226,-0.36229283589292405,-0.30619530901389647,-0.2553062237358391,-0.34897824929092813
Serbia,-0.10714654432629955,-0.187546034551147,0.2095992176559543,-0.2540609890784701,-0.2319097848050591,-0.21572676311313377
TÃ¼rkiye,5.732431018985947,0.21149425146228953,-0.42544031590492354,0.028933293522107526,-0.40208575535804586,-0.12830066029924747
